time,time_milisec,gx,gy,gz,resultant
49:29.1,1.42163E+12,-0.2664626,2.7381682,-0.25260696,2.76267582
49:29.1,1.42163E+12,-1.9057403,2.3491328,-0.34426975,3.044469192
49:29.1,1.42163E+12,-0.16627286,1.5881162,1.7693105,2.383321081
49:29.1,1.42163E+12,0.8143092,-0.075675584,1.5124409,1.719390515
49:29.2,1.42163E+12,0.7993872,-0.21423586,2.3331454,2.47557758
49:29.2,1.42163E+12,1.2022785,-3.3989959,2.412018,4.337796394
49:29.2,1.42163E+12,3.911669,-5.7097588,1.6819111,7.122592566
49:29.2,1.42163E+12,4.2143703,-0.18332642,0.70985574,4.277665341
49:29.2,1.42163E+12,3.1122816,2.1828606,-0.031975776,3.801604873
49:29.3,1.42163E+12,3.194352,1.4804654,-0.22063118,3.527653699
49:29.3,1.42163E+12,2.760551,0.9677917,0.21849905,2.933428784
49:29.3,1.42163E+12,1.3866707,0.049028795,0.105518706,1.391543621
49:29.3,1.42163E+12,0.057555705,-0.23981632,0.2259599,0.33448827
49:29.3,1.42163E+12,-0.30163574,-0.028778385,0.4732368,0.561930053
49:29.4,1.42163E+12,-1.5540093,-0.033041574,0.3133598,1.585632686
49:29.4,1.42163E+12,-1.6318165,-1.025348,-0.12577072,1.931316102
49:29.4,1.42163E+12,-1.6563312,-1.2523742,-0.38477245,2.111853219
49:29.4,1.42163E+12,-2.1210418,-1.609434,-0.635247,2.737267774
49:29.4,1.42163E+12,-2.7701442,-1.991008,-0.84415364,3.514314601
49:29.5,1.42163E+12,-3.0302122,-1.4847294,-1.3738809,3.643371529
49:29.5,1.42163E+12,-3.0088947,-1.0978255,-2.3832407,3.992305647
49:29.5,1.42163E+12,-2.9353511,-0.5148058,-1.5625362,3.364941377
49:29.5,1.42163E+12,-2.5836208,1.3738804,-0.075675584,2.927177922
49:29.5,1.42163E+12,-1.4580832,4.1514854,-0.5041473,4.42888272
49:29.6,1.42163E+12,-0.9603311,0.43060333,-2.4312043,2.649228076
49:29.6,1.42163E+12,-1.8194062,-2.8042517,-1.9814153,3.885881253
49:29.6,1.42163E+12,-1.2758228,-2.1455564,-0.93155324,2.664381264
49:29.6,1.42163E+12,-0.71198815,-2.7264447,-0.6256546,2.886498139
49:29.6,1.42163E+12,-0.07674138,-2.7040617,-0.24621163,2.716331917
49:29.7,1.42163E+12,0.6832095,-2.0848029,0.17373317,2.20076386
49:29.7,1.42163E+12,1.7778374,-0.1406924,0.39756176,1.827171455
49:29.7,1.42163E+12,3.1570475,1.8279325,0.609666,3.698645532
49:29.7,1.42163E+12,3.5492802,2.5356567,1.1958832,4.522950527
49:29.7,1.42163E+12,3.2444472,2.420545,1.1244713,4.201179767
49:29.8,1.42163E+12,-2.2159023,1.8780273,-0.99657005,3.070889351
49:29.8,1.42163E+12,-2.2137709,4.8997126,-1.1329987,5.494693005
49:29.9,1.42163E+12,0.22915728,3.5514119,-0.57449365,3.604869276
49:29.9,1.42163E+12,-1.7842332,1.6264865,-0.021317273,2.414415224
49:29.9,1.42163E+12,-0.5904814,1.9878098,1.8098129,2.752358773
49:29.9,1.42163E+12,0.28564718,-0.18119483,0.95393527,1.012135553
49:29.9,1.42163E+12,0.4188785,1.1841592,2.4184132,2.72514488
49:29.9,1.42163E+12,0.77380675,-0.7183832,3.0771086,3.253221272
49:29.9,1.42163E+12,3.685709,-5.877097,2.3416722,7.321758578
49:29.9,1.42163E+12,4.9348855,-3.0515287,1.2331879,5.931751403
49:30.0,1.42163E+12,2.6976657,1.7554545,-0.031975776,3.218702096
49:30.0,1.42163E+12,3.0941622,1.6936355,-0.55957144,3.571464843
49:30.0,1.42163E+12,2.8351607,1.773574,0.09272861,3.34548943
