time,time_milisec,ax,ay,az,resultant,MA_ax,MA_ay,MA_az,MA_R
41:20.7,1.42E+12,0.1592688,0.043858796,-8.618478,8.620061089,2.255036637,-4.136929238,-7.726431712,9.509094906
41:20.7,1.42E+12,0.0398172,-0.6012996,-8.251441,8.273416779,2.206974581,-3.999586838,-7.757273578,9.4679133
41:20.8,1.42E+12,0.039068755,-0.75278455,-8.374335,8.408192293,2.164729432,-3.866067489,-7.791872618,9.432153252
41:20.8,1.42E+12,0.39323226,-1.2677138,-8.864117,8.96294037,2.129621441,-3.745786617,-7.834486006,9.408454009
41:20.8,1.42E+12,0.7023395,-1.1641291,-8.7841835,8.88877703,2.095615157,-3.626260171,-7.879248922,9.386620531
41:20.8,1.42E+12,0.86759585,-0.67075515,-8.632848,8.702223832,2.061959146,-3.497710494,-7.919850494,9.360179514
41:20.9,1.42E+12,0.81415695,-0.71730834,-8.519383,8.588205255,2.025417135,-3.365882631,-7.949548724,9.322299017
41:20.9,1.42E+12,0.7791298,-0.642464,-8.176447,8.238573225,1.983630031,-3.235863011,-7.976648374,9.281362543
41:20.9,1.42E+12,0.8985814,-0.9542656,-8.104596,8.209905462,1.945588141,-3.120737413,-8.008942206,9.250630854
41:20.9,1.42E+12,1.0048604,-0.8425978,-8.116871,8.222123224,1.902414919,-3.002417459,-8.043235898,9.218426963
41:20.9,1.42E+12,1.0927277,-0.9503737,-8.742869,8.861998778,1.856229961,-2.885714141,-8.088265258,9.195911816
41:20.9,1.42E+12,1.6319064,-1.3855188,-9.251811,9.496251241,1.820403461,-2.780821263,-8.139779138,9.185588886
41:21.0,1.42E+12,2.0315752,-1.7848883,-8.709788,9.11995236,1.787537805,-2.683472697,-8.178306018,9.164249856
41:21.0,1.42E+12,2.0428019,-2.1330643,-8.298443,8.808357346,1.751699331,-2.599054249,-8.210806432,9.140804546
41:21.0,1.42E+12,2.4993525,-2.5099804,-8.055348,8.799738401,1.724315275,-2.526245657,-8.237594706,9.118913451
41:21.0,1.42E+12,2.9026139,-2.9948223,-8.307125,9.295292025,1.712166537,-2.453724463,-8.273600826,9.106329767
41:21.0,1.42E+12,2.8624973,-3.270998,-8.646171,9.677271913,1.699691475,-2.389385255,-8.313603656,9.101464264
41:21.1,1.42E+12,2.8877947,-3.5221756,-8.912167,10.0085863,1.687806189,-2.330168399,-8.355217116,9.100814106
41:21.1,1.42E+12,3.0686188,-3.7332368,-8.363258,9.659066348,1.677992595,-2.285788689,-8.378742184,9.094244997
41:21.1,1.42E+12,3.0722113,-4.0631504,-7.3994126,8.983261116,1.669966287,-2.256779017,-8.379784016,9.077493648
41:21.2,1.42E+12,3.0740075,-4.15012,-6.5623536,8.350898329,1.667241949,-2.229586571,-8.365910868,9.051314828
41:21.2,1.42E+12,3.0719118,-4.3646235,-6.342311,8.289239363,1.663278187,-2.206965607,-8.348199698,9.024083493
41:21.2,1.42E+12,3.5863922,-4.386628,-6.532416,8.647379546,1.669340581,-2.185407433,-8.330632238,9.001520641
41:21.2,1.42E+12,3.4724789,-4.8783555,-7.2549634,9.406963167,1.673771367,-2.175102863,-8.328632406,8.996005862
41:21.2,1.42E+12,3.626808,-5.5456676,-7.696545,10.15603123,1.681423455,-2.182566335,-8.331236992,9.004674761
41:21.2,1.42E+12,3.6893778,-5.8951907,-7.6751394,10.3572461,1.690979581,-2.201939049,-8.33487742,9.021313039
41:21.2,1.42E+12,3.7269497,-6.136489,-7.7775264,10.58473279,1.695631905,-2.228733329,-8.336661708,9.038760885
41:21.3,1.42E+12,3.7145257,-6.3363237,-8.370893,11.13636156,1.699511839,-2.256219175,-8.341403868,9.058338577
41:21.3,1.42E+12,3.4625995,-6.709647,-7.627239,10.73236847,1.710325351,-2.301293435,-8.327351088,9.075218553
41:21.3,1.42E+12,3.521577,-7.0311785,-6.8064957,10.40035381,1.728787959,-2.366641541,-8.293377742,9.090087636
41:21.3,1.42E+12,3.6327956,-7.435937,-6.8582883,10.74832458,1.755669059,-2.453455011,-8.262763408,9.120452508
41:21.3,1.42E+12,3.6534526,-7.392527,-6.681206,10.61299604,1.790531563,-2.542693431,-8.235777528,9.157524835
41:21.4,1.42E+12,3.940256,-7.426357,-6.828051,10.83045133,1.836390197,-2.641332311,-8.203468708,9.194993324
41:21.4,1.42E+12,3.865861,-7.268435,-6.5889983,10.54466345,1.883425389,-2.736169095,-8.164064654,9.224849457
41:21.4,1.42E+12,3.5122962,-7.008875,-6.2674665,10.03701598,1.921991191,-2.831086715,-8.119457414,9.246879613
41:21.4,1.42E+12,3.1726525,-6.4925985,-6.2623773,9.562265872,1.955078387,-2.918600729,-8.0742155,9.259851984
